XNXQ	KCH	KCM	XM
2014-2015-2	10641032	学术英语听说（3）－讨论	2014000034
2014-2015-2	00782461	中国少数民族音乐 	2014000006
2014-2015-2	30420134	高等代数与几何(2)	2014000019
2014-2015-2	10610193	中国近现代史纲要	2014000021
2014-2015-2	30670273	新闻学原理	2014000040
2014-2015-2	30020633	建筑美术（2） 	2014000015
2014-2015-2	30020741	城市设计概论	2014000015
2014-2015-2	30020482	中国古代建筑史纲	2014000031
2014-2015-2	30020482	中国古代建筑史纲	2014000030
2014-2015-2	10610193	中国近现代史纲要	2014000015
2014-2015-2	40641002	英语散文选读	2014000010
2014-2015-2	00782451	管乐经典文献赏析	2014000035
2014-2015-2	30420464	复分析	2013000045
2014-2015-2	00690651	文化素质教育讲座（1）	2014000016
2014-2015-2	40670433	媒介经济学	2013000038
2014-2015-2	10610193	中国近现代史纲要	2014000037
2014-2015-2	10720331	二年级男生足球	2013000033
2014-2015-2	40661603	比较宪法与行政法	2014000025
2014-2015-2	10720211	一年级女生体育(2)	2014000031
2014-2015-2	10800032	外国工艺美术史	2014000050
2014-2015-2	20310394	材料力学	2013000032
2014-2015-2	10610193	中国近现代史纲要	2014000024
2014-2015-2	00781761	管乐合奏初步	2014000008
2014-2015-2	10610193	中国近现代史纲要	2014000016
2014-2015-2	02070012	党的知识概论	2014000004
2014-2015-2	00781551	话剧表演艺术基础(2)	2014000028
2014-2015-2	00700872	当代科学中的哲学问题	2013000010
2014-2015-2	02070012	党的知识概论	2014000010
2014-2015-2	00782201	西方音乐剧史  	2014000016
2014-2015-2	10641032	学术英语听说（3）－讨论	2013000015
2014-2015-2	00690651	文化素质教育讲座（1）	2014000041
2014-2015-2	00690651	文化素质教育讲座（1）	2014000003
2014-2015-2	00690651	文化素质教育讲座（1）	2014000019
2014-2015-2	00690651	文化素质教育讲座（1）	2014000042
2014-2015-2	00690651	文化素质教育讲座（1）	2014000037
2014-2015-2	00690651	文化素质教育讲座（1）	2014000034
2014-2015-2	00690651	文化素质教育讲座（1）	2014000014
2014-2015-2	00690651	文化素质教育讲座（1）	2014000006
2014-2015-2	00690651	文化素质教育讲座（1）	2013000019
2014-2015-2	00690651	文化素质教育讲座（1）	2013000044
2014-2015-2	00690651	文化素质教育讲座（1）	2013000013
2014-2015-2	00690651	文化素质教育讲座（1）	2013000009
2014-2015-2	00690651	文化素质教育讲座（1）	2013000002
2014-2015-2	00690651	文化素质教育讲座（1）	2013000010
2014-2015-2	00690651	文化素质教育讲座（1）	2013000020
2014-2015-2	00690651	文化素质教育讲座（1）	2013000003
2014-2015-2	00690651	文化素质教育讲座（1）	2013000030
2014-2015-2	00690651	文化素质教育讲座（1）	2013000034
2014-2015-2	00690651	文化素质教育讲座（1）	2013000021
2014-2015-2	00690651	文化素质教育讲座（1）	2013000043
2014-2015-2	00690651	文化素质教育讲座（1）	2013000050
2014-2015-2	00690651	文化素质教育讲座（1）	2013000023
2014-2015-2	00690651	文化素质教育讲座（1）	2013000028
2014-2015-2	00690651	文化素质教育讲座（1）	2013000027
2014-2015-2	00690651	文化素质教育讲座（1）	2013000018
2015-2016-1	10641022	学术英语听说（2）－综述	2013000040
2015-2016-1	34000512	医学伦理学	2013000014
2015-2016-1	10641062	学术英语读写（1）－说明文	2015000041
2015-2016-1	00701271	心理学入门	2014000024
2015-2016-1	10720511	二年级女生篮球	2014000046
2015-2016-1	10430782	物理实验A(1)	2014000035
2015-2016-1	00510493	产业组织理论	2013000027
2015-2016-1	00660221	中国习惯法导论	2014000033
2015-2016-1	10721081	三年级男生羽毛球	2013000029
2015-2016-1	00020041	建筑的文化理解	2014000028
2015-2016-1	00800042	外国工艺美术史	2014000041
2015-2016-1	10721081	三年级男生羽毛球	2013000020
2015-2016-1	00740212	嵌入式系统设计与应用	2014000039
2015-2016-1	00640282	西方文学选读	2014000006
2015-2016-1	00430093	天文学导论	2014000028
2015-2016-1	10641032	学术英语听说（3）－讨论	2014000005
2015-2016-1	10720501	二年级女生软式排球	2014000049
2015-2016-1	30510743	中级微观经济学	2014000027
2015-2016-1	20310314	工程力学A	2014000005
2015-2016-1	20440513	物理化学B	2013000016
2015-2016-1	10720571	二年级女生乒乓球	2014000010
2015-2016-1	10610204	马克思主义基本原理	2014000026
2015-2016-1	00510771	商法	2013000038
2015-2016-1	30250203	数据结构	2014000032
2015-2016-1	00510222	质量管理学	2013000048
2015-2016-1	40450123	发育生物学	2013000044
2015-2016-1	40240822	计算机网络管理	2014000022
2015-2016-1	10720341	二年级男生手球	2014000028
2015-2016-1	30450283	细胞生物学	2013000015
2015-2016-1	00050071	环境保护与可持续发展	2013000044
2015-2016-1	30641712	学术写作(1)	2014000010
2015-2016-1	00990021	绿色建筑与可持续发展	2013000035
2015-2016-1	34000265	医学微生物学	2013000014
2015-2016-1	30450322	分子生物学基础实验	2014000020
2015-2016-1	10610204	马克思主义基本原理	2014000022
2015-2016-1	10610204	马克思主义基本原理	2014000019
2015-2016-1	40641242	英汉互译（1）	2014000010
2015-2016-1	00690242	文物精品与文化中国	2014000003
2015-2016-1	30140064	热工基础	2013000049
2015-2016-1	10420803	概率论与数理统计	2014000020
2015-2016-1	30030352	工程经济学	2013000050
2015-2016-1	30030352	工程经济学	2013000023
2015-2016-1	10720371	二年级男生游泳	2014000043
2015-2016-1	10721031	三年级男生足球提高课	2013000035
2015-2016-1	10430801	物理实验B(1)	2014000034
2015-2016-1	40802403	视觉传达设计概论	2014000047
2015-2016-1	30510123	会计学原理	2014000018
2015-2016-1	30230822	电子电路与系统基础（2）	2014000039
2015-2016-1	30230842	电子电路与系统基础实验	2014000014
2015-2016-1	10720371	二年级男生游泳	2014000006
2015-2016-1	30020653	建筑美术（4） 	2014000024
2015-2016-1	00510781	商业伦理	2013000048
2015-2016-1	30350153	固体物理学	2013000004
2015-2016-1	00120181	绿色制造与可持续发展	2015000019
2015-2016-1	10610204	马克思主义基本原理	2014000032
2015-2016-1	10610204	马克思主义基本原理	2014000003
2015-2016-1	10721181	三年级男生击剑	2013000043
2015-2016-1	40021136	建筑设计(3)	2014000024
2015-2016-1	30230983	编码引论	2013000024
2015-2016-1	10430354	大学物理(2)(英)	2014000021
2015-2016-1	10430494	大学物理B(2)	2014000036
2015-2016-1	10720331	二年级男生足球	2014000004
2015-2016-1	20120193	机械设计基础A(2)	2013000047
2015-2016-1	00240074	数据结构	2013000043
2015-2016-1	10721181	三年级男生击剑	2013000047
2015-2016-1	10640982	学术英语专项技能——批判性思维	2014000041
2015-2016-1	10420252	复变函数引论	2014000033
2015-2016-1	10641022	学术英语听说（2）－综述	2014000029
2015-2016-1	34000236	局部解剖学 	2013000014
2015-2016-1	10610204	马克思主义基本原理	2014000005
2015-2016-1	20740073	计算机程序设计基础	2014000043
2015-2016-1	00690342	西方哲学精神探源	2013000014
2015-2016-1	10720351	二年级男生棒球	2014000029
2015-2016-1	10720351	二年级男生棒球	2014000039
2015-2016-1	10641072	学术英语读写（2）－议论文	2013000048
2015-2016-1	00310282	MATLAB与科学计算	2013000008
2015-2016-1	40420614	泛函分析(1)	2013000020
2015-2016-1	00510493	产业组织理论	2013000009
2015-2016-1	00690452	中国古代小说研究与赏析	2014000015
2015-2016-1	30420023	微分方程(1)	2014000019
2015-2016-1	00782082	影视艺术概论与作品赏析	2015000029
2015-2016-1	10430944	大学物理A(2)	2014000039
2015-2016-1	40660113	中国法制史学	2014000005
2015-2016-1	10720931	二年级男生定向运动	2014000027
2015-2016-1	00030042	GPS卫星定位原理及应用	2014000035
2015-2016-1	20220332	电路原理A(2)	2014000028
2015-2016-1	00510363	经济学原理	2014000037
2015-2016-1	10641032	学术英语听说（3）－讨论	2015000044
2015-2016-1	30450444	生物化学(2)(英文) 	2014000011
2015-2016-1	S1510031	实验室科研探究（2）	2014000014
2015-2016-1	10430801	物理实验B(1)	2014000014
2015-2016-1	00691223	宗教学基础知识	2014000008
2015-2016-1	30806292	造型基础（1）	2014000044
2015-2016-1	20310334	理论力学	2014000035
2015-2016-1	10420803	概率论与数理统计	2013000037
2015-2016-1	10610204	马克思主义基本原理	2014000014
2015-2016-1	30030113	钢结构(1)	2013000050
2015-2016-1	30030113	钢结构(1)	2013000023
2015-2016-1	30030113	钢结构(1)	2013000028
2015-2016-1	30030113	钢结构(1)	2013000027
2015-2016-1	20250064	模拟电子技术基础	2014000028
2015-2016-1	10430782	物理实验A(1)	2014000004
2015-2016-1	40021321	建筑设计概论	2014000031
2015-2016-1	40021321	建筑设计概论	2014000030
2015-2016-1	00430093	天文学导论	2013000026
2015-2016-1	30803191	构图	2014000048
2015-2016-1	00660202	法律与文学	2014000017
2015-2016-1	02090102	兵棋推演	2013000043
2015-2016-1	00690803	大学语文	2013000049
2015-2016-1	30030352	工程经济学	2013000007
2015-2016-1	30510073	公共财政学	2013000009
2015-2016-1	40021411	造型艺术鉴赏	2014000015
2015-2016-1	30350064	材料科学基础(1)	2013000010
2015-2016-1	10721161	三年级男生散手	2013000014
2015-2016-1	40660764	物权法	2014000008
2015-2016-1	10720491	二年级女生形体	2014000017
2015-2016-1	30670043	传播学原理	2014000040
2015-2016-1	00800032	中国工艺美术史	2014000013
2015-2016-1	40670442	财经新闻报道 	2013000038
2015-2016-1	40021136	建筑设计(3)	2014000015
2015-2016-1	20440441	物理化学实验C	2013000015
2015-2016-1	20120152	工程图学基础	2014000002
2015-2016-1	10720911	二年级男生羽毛球	2014000047
2015-2016-1	30020721	建筑设计方法概论（1）	2014000031
2015-2016-1	10641032	学术英语听说（3）－讨论	2014000035
2015-2016-1	10641172	艺术英语(1)	2014000047
2015-2016-1	00640562	英国社会与文化	2014000011
2015-2016-1	10641022	学术英语听说（2）－综述	2014000024
2015-2016-1	30250143	应用随机过程	2013000048
2015-2016-1	20740063	数据库技术及应用	2013000007
2015-2016-1	30000051	城市文化与历史保护	2014000015
2015-2016-1	00240074	数据结构	2013000030
2015-2016-1	44000423	神经建模与数据分析	2013000016
2015-2016-1	30350083	X-光衍射分析	2013000003
2015-2016-1	00690092	逻辑学概论	2013000021
2015-2016-1	10720531	二年级女生足球	2014000013
2015-2016-1	00691223	宗教学基础知识	2013000038
2015-2016-1	10721211	三年级男生跆拳道	2013000007
2015-2016-1	20310423	流体力学	2013000047
2015-2016-1	30450092	动物生理学实验	2013000014
2015-2016-1	30040382	河流动力学概论	2013000046
2015-2016-1	30000041	东方古代园林史	2014000030
2015-2016-1	00690052	日本民族研究	2013000040
2015-2016-1	60640242	德语(第二外国语)(2)	2014000044
2015-2016-1	10510134	概率论与数理统计	2014000007
2015-2016-1	00510222	质量管理学	2013000038
2015-2016-1	00701271	心理学入门	2014000013
2015-2016-1	00510222	质量管理学	2013000046
2015-2016-1	10720361	二年级男生健美	2014000022
2015-2016-1	10720501	二年级女生软式排球	2014000032
2015-2016-1	20030153	混凝土结构(1)	2013000029
2015-2016-1	10721591	三年级女生乒乓球	2013000012
2015-2016-1	S1510021	实验室科研探究（1）	2014000010
2015-2016-1	40700233	中国对外政策	2014000009
2015-2016-1	10721511	三年级女生网球	2013000030
2015-2016-1	40420614	泛函分析(1)	2013000045
2015-2016-1	10430811	物理实验B(2)	2014000001
2015-2016-1	10420252	复变函数引论	2014000032
2015-2016-1	00640312	影视欣赏	2013000037
2015-2016-1	00680082	审美的历程	2013000037
2015-2016-1	00691153	不朽的艺术：走进大师与经典	2014000009
2015-2016-1	00781831	校园歌曲创作（1）	2013000043
2015-2016-1	30804093	图形设计	2014000047
2015-2016-1	60640242	德语(第二外国语)(2)	2014000013
2015-2016-1	40450292	植物科学导论	2013000011
2015-2016-1	40350462	功能陶瓷材料及应用	2013000006
2015-2016-1	00510232	技术创新管理	2013000048
2015-2016-1	30240163	软件工程	2013000035
2015-2016-1	30230842	电子电路与系统基础实验	2014000039
2015-2016-1	30660082	法学绪论	2014000005
2015-2016-1	10420243	随机数学方法	2013000014
2015-2016-1	10610204	马克思主义基本原理	2014000035
2015-2016-1	10430494	大学物理B(2)	2013000013
2015-2016-1	30030113	钢结构(1)	2013000029
2015-2016-1	00691223	宗教学基础知识	2014000049
2015-2016-1	10720451	二年级女生武术	2014000003
2015-2016-1	30804351	工业设计概论	2014000045
2015-2016-1	20310334	理论力学	2014000033
2015-2016-1	40440242	绿色化学	2013000009
2015-2016-1	10420803	概率论与数理统计	2013000009
2015-2016-1	10421133	复变函数与数理方程	2014000029
2015-2016-1	10421133	复变函数与数理方程	2014000014
2015-2016-1	10420803	概率论与数理统计	2014000006
2015-2016-1	10430494	大学物理B(2)	2014000042
2015-2016-1	02070251	大学生职业生涯规划与发展	2014000046
2015-2016-1	30220422	电力系统运行和管理基础	2014000001
2015-2016-1	10430811	物理实验B(2)	2014000028
2015-2016-1	40021473	建筑设计（5）	2013000026
2015-2016-1	10610204	马克思主义基本原理	2014000010
2015-2016-1	21510063	金工实习B(分散)	2013000041
2015-2016-1	30641242	实用日语会话（1）	2014000041
2015-2016-1	10610204	马克思主义基本原理	2014000041
2015-2016-1	10720481	二年级女生健美操	2014000016
2015-2016-1	20440113	有机化学A(2)	2014000003
2015-2016-1	30806422	工业设计表达(1)	2014000044
2015-2016-1	30806431	工程制图 	2014000044
2015-2016-1	30806442	设计工程基础(1)	2014000044
2015-2016-1	40809641	工业设计人机工程学应用	2014000044
2015-2016-1	40440052	有机合成	2013000040
2015-2016-1	40809283	素描（人物）	2014000048
2015-2016-1	30350042	高分子化学与物理	2013000003
2015-2016-1	40050424	固体废物处理处置工程(含实验)	2013000043
2015-2016-1	00782321	声乐基础训练	2013000015
2015-2016-1	30350093	材料化学	2013000003
2015-2016-1	30350083	X-光衍射分析	2013000006
2015-2016-1	10720961	二年级男生花样轮滑	2014000012
2015-2016-1	10720961	二年级男生花样轮滑	2014000040
2015-2016-1	00690803	大学语文	2013000045
2015-2016-1	10430354	大学物理(2)(英)	2014000001
2015-2016-1	01510162	制造工程体验	2013000044
2015-2016-1	34000242	医学遗传学	2013000014
2015-2016-1	10641172	艺术英语(1)	2014000041
2015-2016-1	20750021	文献检索与利用(理工类)	2014000039
2015-2016-1	02070071	大学生心理训练与潜能开发	2015000009
2015-2016-1	30230822	电子电路与系统基础（2）	2014000029
2015-2016-1	00040022	地球与人类环境	2014000011
2015-2016-1	40641051	经典作品阅读（3）	2014000009
2015-2016-1	30240184	数据结构	2014000034
2015-2016-1	31550011	电子学基础实验	2013000013
2015-2016-1	30120103	机械系统微机控制	2013000047
2015-2016-1	00701271	心理学入门	2013000033
2015-2016-1	30240312	人工神经网络	2013000035
2015-2016-1	30640262	语言学概论	2014000010
2015-2016-1	30030482	工程合同管理(英)	2013000007
2015-2016-1	40030361	建筑材料实验	2014000006
2015-2016-1	10721181	三年级男生击剑	2013000048
2015-2016-1	31550011	电子学基础实验	2014000034
2015-2016-1	30350281	材料科学与工程实验（2）	2013000006
2015-2016-1	00690242	文物精品与文化中国	2013000007
2015-2016-1	00640312	影视欣赏	2014000023
2015-2016-1	10721151	三年级男生武术	2013000045
2015-2016-1	00680082	审美的历程	2014000031
2015-2016-1	10430782	物理实验A(1)	2014000002
2015-2016-1	00640192	科技英语视听说	2014000025
2015-2016-1	20440441	物理化学实验C	2013000044
2015-2016-1	20740073	计算机程序设计基础	2014000018
2015-2016-1	00640272	美国社会与文化	2014000037
2015-2016-1	10720371	二年级男生游泳	2014000033
2015-2016-1	00640282	西方文学选读	2014000049
2015-2016-1	00640282	西方文学选读	2014000031
2015-2016-1	40910181	因材施教导师制研讨课(1)	2014000005
2015-2016-1	01510152	现代加工技术与实践	2014000044
2015-2016-1	40805972	设计表达（1）	2014000049
2015-2016-1	20220332	电路原理A(2)	2014000001
2015-2016-1	30050174	环境工程原理	2013000043
2015-2016-1	20230253	数据与算法	2014000014
2015-2016-1	10721081	三年级男生羽毛球	2013000009
2015-2016-1	30040413	土力学与基础工程	2013000007
2015-2016-1	30800203	字体设计	2014000046
2015-2016-1	30420023	微分方程(1)	2014000007
2015-2016-1	40641112	英国文学史	2014000009
2015-2016-1	00690552	西方文学思潮与作品	2014000048
2015-2016-1	00510232	技术创新管理	2013000046
2015-2016-1	30670353	高级新闻采写	2014000040
2015-2016-1	30030083	建筑结构	2013000026
2015-2016-1	00240074	数据结构	2013000014
2015-2016-1	30230272	数据库	2014000014
2015-2016-1	10720331	二年级男生足球	2014000002
2015-2016-1	S1510031	实验室科研探究（2）	2014000045
2015-2016-1	S1510031	实验室科研探究（2）	2014000044
2015-2016-1	10430494	大学物理B(2)	2014000029
2015-2016-1	40661621	法律文献检索	2014000026
2015-2016-1	30804093	图形设计	2014000046
2014-2015-2	00510483	中级宏观经济学	2013000007
2014-2015-2	00640312	影视欣赏	2013000021
2014-2015-2	00640972	英语演讲艺术	2014000016
2014-2015-2	00690012	农民学与中国传统社会	2013000018
2014-2015-2	00690252	道家与玄学	2014000001
2014-2015-2	00690252	道家与玄学	2014000029
2014-2015-2	00690252	道家与玄学	2014000003
2014-2015-2	00690651	文化素质教育讲座（1）	2013000026
2014-2015-2	00690651	文化素质教育讲座（1）	2013000046
2014-2015-2	00690651	文化素质教育讲座（1）	2013000048
2014-2015-2	00690651	文化素质教育讲座（1）	2013000041
2014-2015-2	00690651	文化素质教育讲座（1）	2013000045
2014-2015-2	00690651	文化素质教育讲座（1）	2013000008
2014-2015-2	00690651	文化素质教育讲座（1）	2013000040
2014-2015-2	00690651	文化素质教育讲座（1）	2013000011
2014-2015-2	00690651	文化素质教育讲座（1）	2013000015
2014-2015-2	00690651	文化素质教育讲座（1）	2014000020
2014-2015-2	00690651	文化素质教育讲座（1）	2014000001
2014-2015-2	00690651	文化素质教育讲座（1）	2014000038
2014-2015-2	00690651	文化素质教育讲座（1）	2014000027
2014-2015-2	00690651	文化素质教育讲座（1）	2014000010
2014-2015-2	00690651	文化素质教育讲座（1）	2014000047
2014-2015-2	00690651	文化素质教育讲座（1）	2014000048
2014-2015-2	00690651	文化素质教育讲座（1）	2014000044
2014-2015-2	00690762	演讲与口才实用技巧	2013000018
2014-2015-2	00740103	操作系统	2013000033
2014-2015-2	00780721	国际标准舞表演(2)	2014000041
2014-2015-2	00803191	透视	2014000045
2014-2015-2	01510162	制造工程体验	2014000045
2014-2015-2	02070012	党的知识概论	2014000040
2014-2015-2	02070071	大学生心理训练与潜能开发	2014000035
2014-2015-2	02070071	大学生心理训练与潜能开发	2014000050
2014-2015-2	02070251	大学生职业生涯规划与发展	2014000014
2014-2015-2	10421102	线性代数(2)	2014000033
2014-2015-2	10421102	线性代数(2)	2014000038
2014-2015-2	10430484	大学物理B(1)	2014000003
2014-2015-2	10610193	中国近现代史纲要	2014000035
2014-2015-2	10610193	中国近现代史纲要	2014000008
2014-2015-2	10610224	毛泽东思想和中国特色社会主义理论体系概论	2013000023
2014-2015-2	10610224	毛泽东思想和中国特色社会主义理论体系概论	2013000022
2014-2015-2	10641032	学术英语听说（3）－讨论	2013000045
2014-2015-2	10641072	学术英语读写（2）－议论文	2014000007
2014-2015-2	10641072	学术英语读写（2）－议论文	2014000018
2014-2015-2	10720221	一年级男生体育(2)	2014000035
2014-2015-2	10720221	一年级男生体育(2)	2014000002
2014-2015-2	10720221	一年级男生体育(2)	2014000042
2014-2015-2	10720481	二年级女生健美操	2013000037
2014-2015-2	20220044	电工与电子技术	2013000042
2014-2015-2	20220221	电路原理实验	2014000021
2014-2015-2	20220233	计算机硬件技术基础	2013000030
2014-2015-2	20440161	物理化学实验B(2)	2013000004
2014-2015-2	20440242	有机化学实验A(2)	2013000042
2014-2015-2	30020682	建筑数学	2014000031
2014-2015-2	30020682	建筑数学	2014000030
2014-2015-2	30020751	CAAD方法	2013000026
2014-2015-2	30230024	电动力学	2013000024
2014-2015-2	30230763	固体物理基础	2013000024
2014-2015-2	30230931	电子信息科学与技术导引(1)	2014000002
2014-2015-2	30350074	材料科学基础(2)	2013000006
2014-2015-2	30350074	材料科学基础(2)	2013000001
2014-2015-2	30420334	测度与积分	2013000019
2014-2015-2	30420464	复分析	2013000049
2014-2015-2	30450203	生物化学(1)(英文)	2014000020
2014-2015-2	30670413	媒介伦理与法规	2013000038
2014-2015-2	30700313	心理学概论	2014000018
2014-2015-2	30806213	综合造型基础（2）	2014000047
2014-2015-2	40030862	土木与生态工程	2014000006
2014-2015-2	40340393	高分子化学	2013000042
2014-2015-2	40450353	认知的神经生物学基础	2013000015
2014-2015-2	40641071	经典作品阅读（2）	2014000010
2014-2015-2	40641071	经典作品阅读（2）	2014000009
2014-2015-2	40641071	经典作品阅读（2）	2014000013
2014-2015-2	80660644	普通法精要（1）	2014000008
2014-2015-3	40030711	认识实习	2014000005
2014-2015-3	40030711	认识实习	2014000033
2014-2015-3	30020641	建筑美术（3） 	2014000015
2014-2015-3	40021432	建造实习	2014000015
2014-2015-3	30641132	英语戏剧排练与英语朗读	2014000010
2014-2015-3	30641132	英语戏剧排练与英语朗读	2014000009
2014-2015-3	40511385	学术训练或企业实践	2013000019
2014-2015-3	30240543	并行程序设计	2013000021
2014-2015-3	30250182	C++程序设计与训练	2014000032
2014-2015-3	40660612	社会调查	2014000025
2014-2015-3	40030971	砌体结构课程设计	2013000029
2014-2015-3	40310314	专题实验	2013000030
2014-2015-3	40030402	测量实习	2013000007
2014-2015-3	30240332	Java程序设计与训练	2013000036
2014-2015-3	40030982	房地产市场调研与实验	2013000007
2014-2015-3	20250141	电子技术课程设计	2013000037
2014-2015-3	21510192	电子工艺实习（集中）	2013000006
2014-2015-3	21510192	电子工艺实习（集中）	2013000001
2014-2015-3	30020672	建筑美术（6） 	2013000026
2014-2015-3	10641302	外语实践E	2014000019
2014-2015-3	30340292	高分子化学实验	2013000042
2014-2015-3	30340292	高分子化学实验	2013000041
2014-2015-3	40800382	社会实践	2014000045
2014-2015-3	40800382	社会实践	2014000044
2014-2015-3	21510123	金工实习B(集中)	2014000042
2014-2015-3	40050401	校园环境质量监测	2013000043
2014-2015-3	40800382	社会实践	2014000048
2014-2015-3	40350342	认识实习	2014000036
2014-2015-3	10220022	电气工程专业英语实践	2014000028
2014-2015-3	21510123	金工实习B(集中)	2013000006
2014-2015-3	21510123	金工实习B(集中)	2013000001
2014-2015-3	40661412	模拟法庭初级训练	2014000026
2014-2015-3	20230261	电子电路课程设计	2013000024
2014-2015-3	20230261	电子电路课程设计	2013000033
2014-2015-3	40660612	社会调查	2014000008
2014-2015-3	40030721	建筑设计概论	2013000007
2014-2015-3	30350342	材料学科英语实践	2014000036
2014-2015-3	10641282	外语实践C	2014000040
2014-2015-3	20240103	汇编语言程序设计	2013000021
2014-2015-3	40131082	电路系统设计与实践	2013000047
2014-2015-3	21510192	电子工艺实习（集中）	2013000003
2014-2015-3	10220022	电气工程专业英语实践	2014000001
2014-2015-3	40021432	建造实习	2014000031
2014-2015-3	40021432	建造实习	2014000030
2014-2015-3	21510082	金工实习C(集中)	2013000043
2014-2015-3	10641272	外语实践B	2014000014
2014-2015-3	21510123	金工实习B(集中)	2013000049
2014-2015-3	21510123	金工实习B(集中)	2013000003
2014-2015-3	40030711	认识实习	2014000004
2014-2015-3	21510082	金工实习C(集中)	2013000048
2014-2015-3	10641302	外语实践E	2014000037
2014-2015-3	21510192	电子工艺实习（集中）	2013000049
2014-2015-3	30440161	科学写作	2013000009
2014-2015-3	30440161	科学写作	2013000002
2014-2015-3	40450244	生化与分子生物学综合实验	2013000015
2014-2015-3	40030402	测量实习	2013000046
2014-2015-3	10641312	外语实践F	2014000046
2014-2015-3	10641312	外语实践F	2014000039
2014-2015-3	20230261	电子电路课程设计	2013000031
2014-2015-3	30320211	学科前沿讲座	2013000049
2014-2015-3	40030402	测量实习	2013000029
2014-2015-3	40800382	社会实践	2014000046
2014-2015-3	40800382	社会实践	2014000049
2014-2015-3	30020781	CAAD实习	2013000026
2014-2015-3	30470232	信息物理	2014000023
2014-2015-3	30470242	数据科学导论	2013000036
2014-2015-3	20740084	基于Linux的C++	2013000010
2014-2015-3	30641391	日语听力会话训练	2014000041
2014-2015-3	40661412	模拟法庭初级训练	2014000025
2014-2015-3	40021231	建筑测量学实习	2013000026
2014-2015-3	30020641	建筑美术（3） 	2014000024
2014-2015-3	40800382	社会实践	2014000050
2014-2015-3	20450053	普通生物学野外综合实习	2013000011
2014-2015-3	20450053	普通生物学野外综合实习	2013000012
2014-2015-3	20450053	普通生物学野外综合实习	2013000044
2014-2015-3	10641262	外语实践A	2014000049
2014-2015-3	40030721	建筑设计概论	2014000004
2014-2015-3	30350342	材料学科英语实践	2014000043
2014-2015-3	10641282	外语实践C	2014000048
2014-2015-3	40660612	社会调查	2014000026
2014-2015-3	10641292	外语实践D	2014000045
2014-2015-3	40661412	模拟法庭初级训练	2014000008
2014-2015-3	21510192	电子工艺实习（集中）	2013000004
2014-2015-3	40030282	测量	2013000043
2014-2015-3	40511385	学术训练或企业实践	2013000017
2014-2015-3	00510801	创新创业	2014000025
2014-2015-3	20740092	C++程序设计实践	2014000019
2014-2015-3	21510123	金工实习B(集中)	2013000004
2014-2015-3	30240522	程序设计训练	2013000013
2014-2015-3	40021432	建造实习	2014000024
2014-2015-3	40030711	认识实习	2014000006
2014-2015-3	40030711	认识实习	2014000035
2014-2015-3	30240332	Java程序设计与训练	2013000024
2014-2015-3	30240332	Java程序设计与训练	2013000035
2014-2015-3	40340282	认识实习	2013000042
2014-2015-3	40340282	认识实习	2013000041
2014-2015-3	30240522	程序设计训练	2014000034
2014-2015-3	40350342	认识实习	2014000043
2014-2015-3	40670112	社会实践	2014000040
2014-2015-3	40670313	影视制作(2)	2013000038
2014-2015-3	30440161	科学写作	2013000008
2014-2015-3	30440161	科学写作	2013000040
2014-2015-3	01030143	行为社会科学	2014000041
2014-2015-3	20230242	Matlab高级编程与工程应用	2013000024
2014-2015-3	20230242	Matlab高级编程与工程应用	2013000033
2014-2015-3	40220301	认识实习	2013000037
2014-2015-3	10641262	外语实践A	2014000032
2014-2015-3	10641262	外语实践A	2014000022
2014-2015-3	30250182	C++程序设计与训练	2014000037
2014-2015-3	40250521	计算机原理实验	2013000048
2014-2015-3	40310864	暑期强化课	2013000032
2015-2016-1	30800203	字体设计	2014000047
2015-2016-1	20510102	计算机语言	2014000027
2015-2016-1	10720011	体育(1)	2015000038
2015-2016-1	10720011	体育(1)	2015000045
2015-2016-1	10610183	思想道德修养与法律基础	2015000046
2015-2016-1	30420444	统计推断	2013000049
2015-2016-1	10450034	普通生物学	2015000014
2015-2016-1	10421055	微积分A(1)	2015000013
2015-2016-1	10421055	微积分A(1)	2015000045
2015-2016-1	10421094	线性代数(1)	2015000033
2015-2016-1	10421094	线性代数(1)	2015000034
2015-2016-1	10421094	线性代数(1)	2015000003
2015-2016-1	10420604	高等代数	2015000036
2015-2016-1	00690672	《庄子》导读	2014000038
2015-2016-1	00690152	中国近代文化史	2014000040
2015-2016-1	10610204	马克思主义基本原理	2013000039
2015-2016-1	00510454	经济学原理	2014000033
2015-2016-1	30440054	结构化学	2013000008
2015-2016-1	30340094	化学工程基础	2013000041
2015-2016-1	10610204	马克思主义基本原理	2014000024
2015-2016-1	10610204	马克思主义基本原理	2014000006
2015-2016-1	10720371	二年级男生游泳	2014000014
2015-2016-1	40030352	建筑材料	2014000004
2015-2016-1	10610204	马克思主义基本原理	2014000001
2015-2016-1	30310473	空气动力学	2013000030
2015-2016-1	30640958	基础日语(3)	2014000041
2015-2016-1	00803273	木版（黑白）	2014000048
2015-2016-1	30310484	工程热力学	2014000042
2015-2016-1	30670263	中国新闻传播史	2014000040
2015-2016-1	00510133	会计学原理	2013000007
2015-2016-1	10641082	学术英语读写（3）－文献综述	2014000003
2015-2016-1	30450383	生命科学的逻辑与思维	2013000011
2015-2016-1	00701352	健康产业发展与管理	2014000034
2015-2016-1	40420644	微分几何	2013000045
